id1,regneighborhood,id2,id3,id4,timestamp,startps,textps1,laddernow,ladder1yrago,ladder1yr,ladder5yr,textps2,textps3,thinkbad,baddream,badagain,badbody,badaway,baddo,badshare,badhappy,badfuture,badvex,badhear,badscare,badjump,badsad,badtired,badeat,badimportant,badreact,badadvice,badtalk,badspoiled,badfrust,badspirit,baddry,badsat,badburn,hardjokes,cheat,troublesome,selfdiscipline,frustrated,threaten,takethings,endps,rsmps,date,dup,starthg,texthousing1,dwelling,dwellingoth,walls,wallsoth,roof,roofoth,floor,flooroth,sleepstreet4w,sleepstreet4wamt,sleepstreet4wamtunit,sleepstreetnow,watersource,watersourceoth,toilet,toiletoth,bathe,batheoth,ownhouse,payrent,rent,rentunit,rooms,ownbed,sleepdry,sleepsafe,moneysafe,foodsafe,bussafe,othersafe,threatlife4w,threatlife4wx,physattack4w,physattack4wx,fearattack,fearpeople,endhg,rsmhg,startdrugs,textdrug1,selfdrinkbeerwine,drinkbeerwinexamt,drinkbeerwinexamtunit,drinkbeerwinemuch,drinkbeerwine7ddys,selfdrinkgin,drinkginxamt,drinkginxamtunit,drinkginmuch,drinkgin7ddys,addboozeprob,addboozetoler,adboozecantstop,druggrass,druggrass7dx,druggrassxamt,druggrassevday,addgrassprob,addgrasstoler,adgrasscantstop,drugntgrss,drugntgrssspecify,drugntgrsspecifyoth,drugntgrss4wx,drugntgrss4wamt,drugntgrss4wamtunit,drugntgrssevday,addntgrssprob,addntgrsstoler,adntgrsscantstop,selfdrugsell,selfdrugsellspecify,selfdrugsellspecifyoth,enddrugs,rsmda
20100,Redlight,0,0,pq0131,6/27/2011 12:45,CLICK TO BEGIN,,4,3,6,8,,,2-Sometimes,3-One one time,3-One one time,3-One one time,3-One one time,3-One one time,4-Never,3-One one time,4-Never,4-Never,3-One one time,3-One one time,4-Never,3-One one time,2-Sometimes,3-One one time,4-Never,4-Never,4-Never,3-One one time,3-One one time,4-Never,4-Never,3-One one time,4-Never,4-Never,2-Sometimes,4-Never,4-Never,1-Everytime,4-Never,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,27jun2011,0,Click to begin,,7-Market House/business place,,,,,,,,Y,5,Day,N,4-Buy in bag,,8-Government toilet,,3-River / Beach / Outside,,N,2-Services,,,0,6-Other poor materials,"2-No, small water/leaks",0-No,0-No,0-No,0-No,0-No,Y,5,Y,7,Y,Y,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,1000,LD,1-Plenty,7,1-Yes,150,LD,1-Plenty,7,1-Everytime,3-One one time,1-Yes,1-Yes,7,200,1-Yes,3-One one time,1-Yes,1-Yes,1-Yes,2-Bubble/10-10/Valium;3-Italian/Tie White,,8,250,LD,1-Yes,1-Everytime,0-No,3-One one time,1-Yes,,,CLICK TO CONTINUE,Resume later
20101,Redlight,0,0,pz0121,6/21/2011 13:32,CLICK TO BEGIN,,3,2,4,6,,,2-Sometimes,2-Sometimes,3-One one time,2-Sometimes,3-One one time,3-One one time,2-Sometimes,2-Sometimes,4-Never,3-One one time,3-One one time,2-Sometimes,4-Never,3-One one time,2-Sometimes,3-One one time,3-One one time,4-Never,4-Never,3-One one time,3-One one time,3-One one time,2-Sometimes,3-One one time,3-One one time,3-One one time,2-Sometimes,3-One one time,3-One one time,2-Sometimes,3-One one time,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,21jun2011,0,Click to begin,,7-Market House/business place,,,,,,,,Y,3,Day,Y,3-Community well,,1-Bush,,3-River / Beach / Outside,,N,3-Free,,,0,6-Other poor materials,"3-No, big water",1-Yes,0-No,0-No,0-No,1-Yes,N,,Y,1,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,15,USD,1-Plenty,2,1-Yes,150,LD,1-Plenty,5,4-Never,3-One one time,0-No,0-No,,,,,,,1-Yes,2-Bubble/10-10/Valium,,5,75,LD,1-Yes,3-One one time,1-Yes,2-Sometimes,0-No,,,CLICK TO CONTINUE,Resume later
20102,Redlight,0,0,pq0127,6/21/2011 11:06,CLICK TO BEGIN,,4,3,7,9,,,1-Everytime,3-One one time,3-One one time,4-Never,3-One one time,1-Everytime,3-One one time,2-Sometimes,3-One one time,4-Never,4-Never,4-Never,2-Sometimes,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,1-Everytime,4-Never,2-Sometimes,2-Sometimes,4-Never,3-One one time,4-Never,4-Never,2-Sometimes,4-Never,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,21jun2011,0,Click to begin,,6-Outside,,,,,,,,Y,30,Day,Y,4-Buy in bag,,8-Government toilet,,1-Community bathroom,,N,96-Other,,,0,7-Floor/ground,"3-No, big water",0-No,0-No,0-No,0-No,0-No,Y,4,Y,3,N,Y,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,120,LD,3-Small,1,0-No,,,,,4-Never,4-Never,0-No,1-Yes,14,10,1-Yes,4-Never,1-Yes,0-No,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20104,Redlight,0,0,pq0160,6/17/2011 16:25,CLICK TO BEGIN,,0,0,1,6,,,2-Sometimes,2-Sometimes,3-One one time,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,4-Never,2-Sometimes,4-Never,2-Sometimes,2-Sometimes,3-One one time,3-One one time,3-One one time,2-Sometimes,4-Never,4-Never,4-Never,2-Sometimes,2-Sometimes,2-Sometimes,3-One one time,3-One one time,4-Never,2-Sometimes,3-One one time,3-One one time,2-Sometimes,4-Never,2-Sometimes,4-Never,CLICK TO CONTINUE,Click to resume later,17jun2011,0,Click to begin,,1-House/Hut/Room in a house,,7-Mud bricks,,1- Zinc/Metal,,1-Concrete/stone,,N,,,N,2-Community pump,,4-Own latrine,,2-Private bathroom,,N,1-Rent,350,LD,6,1-Sponge mattress,"2-No, small water/leaks",1-Yes,0-No,1-Yes,1-Yes,0-No,N,,N,,Y,Y,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,50,LD,1-Plenty,2,1-Yes,40,LD,1-Plenty,2,2-Sometimes,3-One one time,1-Yes,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20105,Redlight,0,0,MNWBE3D48Y,6/24/2011 11:51,CLICK TO BEGIN,,4,3,6,10,,,2-Sometimes,3-One one time,2-Sometimes,3-One one time,4-Never,2-Sometimes,4-Never,2-Sometimes,2-Sometimes,3-One one time,3-One one time,3-One one time,4-Never,2-Sometimes,3-One one time,2-Sometimes,4-Never,3-One one time,2-Sometimes,4-Never,3-One one time,2-Sometimes,4-Never,4-Never,2-Sometimes,3-One one time,2-Sometimes,2-Sometimes,3-One one time,3-One one time,4-Never,4-Never,3-One one time,CLICK TO CONTINUE,Click to resume later,24jun2011,0,Click to begin,,1-House/Hut/Room in a house,,2-Cement/Stone blocks,,1- Zinc/Metal,,1-Concrete/Stone,,N,,,N,4-Buy in bag,,8-Government toilet,,1-Community bathroom,,N,3-Free,,,2,6-Other poor materials,"2-No, small water/leaks",0-No,0-No,0-No,0-No,1-Yes,N,,N,,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,50,LD,3-Small,0,1-Yes,100,LD,3-Small,6,4-Never,4-Never,0-No,1-Yes,7,50,1-Yes,4-Never,0-No,1-Yes,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20106,Redlight,0,0,pq0129,6/10/2011 14:44,CLICK TO BEGIN,,1,2,2,7,,,2-Sometimes,3-One one time,2-Sometimes,2-Sometimes,3-One one time,2-Sometimes,3-One one time,2-Sometimes,4-Never,2-Sometimes,4-Never,4-Never,2-Sometimes,2-Sometimes,2-Sometimes,3-One one time,4-Never,2-Sometimes,4-Never,3-One one time,2-Sometimes,2-Sometimes,4-Never,3-One one time,2-Sometimes,3-One one time,2-Sometimes,4-Never,4-Never,2-Sometimes,4-Never,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,10jun2011,0,Click to begin,,1-House/Hut/Room in a house,,1-Zinc/Metal,,1- Zinc/Metal,,1-Concrete/Stone,,N,,,N,4-Buy in bag,,8-Government toilet,,1-Community bathroom,,N,2-Services,,,1,1-Sponge mattress,1-Yes,0-No,0-No,0-No,0-No,0-No,N,,N,,Y,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,0,LD,1-Plenty,2,1-Yes,0,LD,2-Some,0,2-Sometimes,3-One one time,1-Yes,1-Yes,21,20,1-Yes,3-One one time,1-Yes,1-Yes,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20107,Redlight,0,0,pq0127,6/23/2011 13:12,CLICK TO BEGIN,,3,1,5,7,,,2-Sometimes,2-Sometimes,2-Sometimes,3-One one time,2-Sometimes,3-One one time,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,3-One one time,3-One one time,2-Sometimes,2-Sometimes,4-Never,3-One one time,3-One one time,3-One one time,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,3-One one time,3-One one time,4-Never,4-Never,4-Never,2-Sometimes,CLICK TO CONTINUE,Click to resume later,23jun2011,0,Click to begin,,1-House/Hut/Room in a house,,1-Zinc/Metal,,1- Zinc/Metal,,1-Concrete/Stone,,N,,,N,4-Buy in bag,,8-Government toilet,,1-Community bathroom,,N,1-Rent,400,LD,5,1-Sponge mattress,"2-No, small water/leaks",1-Yes,0-No,1-Yes,1-Yes,1-Yes,N,,N,,Y,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,20,LD,2-Some,2,0-No,,,,,3-One one time,4-Never,0-No,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20108,Redlight,0,0,D9585WQ28Y,6/29/2011 12:51,CLICK TO BEGIN,,1,0,2,3,,,2-Sometimes,2-Sometimes,3-One one time,3-One one time,2-Sometimes,3-One one time,3-One one time,2-Sometimes,2-Sometimes,3-One one time,4-Never,4-Never,3-One one time,2-Sometimes,2-Sometimes,3-One one time,2-Sometimes,1-Everytime,3-One one time,3-One one time,3-One one time,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,3-One one time,3-One one time,3-One one time,2-Sometimes,4-Never,3-One one time,2-Sometimes,CLICK TO CONTINUE,Click to resume later,29jun2011,0,Click to begin,,7-Market House/business place,,,,,,,,Y,30,Day,Y,1-Piped water,,8-Government toilet,,3-River / Beach / Outside,,N,3-Free,,,0,6-Other poor materials,"3-No, big water",0-No,0-No,0-No,0-No,1-Yes,Y,10,Y,10,Y,Y,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,5,USD,1-Plenty,0,1-Yes,120,LD,2-Some,0,1-Everytime,2-Sometimes,0-No,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20109,Redlight,0,0,pq0129,6/15/2011 10:55,CLICK TO BEGIN,,1,1,10,10,,,2-Sometimes,3-One one time,1-Everytime,4-Never,2-Sometimes,3-One one time,2-Sometimes,4-Never,1-Everytime,2-Sometimes,4-Never,4-Never,4-Never,2-Sometimes,3-One one time,1-Everytime,1-Everytime,4-Never,4-Never,2-Sometimes,2-Sometimes,2-Sometimes,4-Never,2-Sometimes,2-Sometimes,4-Never,4-Never,4-Never,4-Never,1-Everytime,1-Everytime,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,15jun2011,0,Click to begin,,7-Market House/business place,,,,,,,,Y,30,Day,Y,4-Buy in bag,,8-Government toilet,,1-Community bathroom,,N,2-Services,,,0,7-Floor/ground,"3-No, big water",0-No,0-No,0-No,0-No,0-No,Y,2,Y,1,Y,Y,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,100,LD,2-Some,1,0-No,,,,,3-One one time,3-One one time,1-Yes,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20111,Redlight,0,0,ipaq27,6/14/2011 5:05,CLICK TO BEGIN,,1,1,2,5,,,4-Never,3-One one time,1-Everytime,2-Sometimes,4-Never,2-Sometimes,2-Sometimes,3-One one time,2-Sometimes,3-One one time,2-Sometimes,3-One one time,3-One one time,2-Sometimes,3-One one time,2-Sometimes,3-One one time,2-Sometimes,3-One one time,4-Never,4-Never,4-Never,4-Never,2-Sometimes,2-Sometimes,3-One one time,2-Sometimes,3-One one time,3-One one time,2-Sometimes,4-Never,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,14jun2011,0,Click to begin,,7-Market House/business place,,,,,,,,Y,3,Day,N,4-Buy in bag,,8-Government toilet,,3-River / Beach / Outside,,N,2-Services,,,1,3-Mat,1-Yes,0-No,0-No,0-No,0-No,0-No,N,,N,,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,0-No,,,,,0-No,,,,,,,,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20112,Redlight,0,0,D9585WQ28Y,6/25/2011 13:18,CLICK TO BEGIN,,3,1,6,10,,,2-Sometimes,4-Never,3-One one time,4-Never,3-One one time,3-One one time,4-Never,4-Never,4-Never,3-One one time,3-One one time,2-Sometimes,3-One one time,3-One one time,3-One one time,3-One one time,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,3-One one time,3-One one time,3-One one time,3-One one time,2-Sometimes,3-One one time,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,25jun2011,0,Click to begin,,6-Outside,,,,,,,,Y,6,Day,Y,4-Buy in bag,,8-Government toilet,,1-Community bathroom,,N,3-Free,,,0,6-Other poor materials,"3-No, big water",0-No,0-No,0-No,0-No,0-No,N,,N,,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,270,LD,1-Plenty,0,1-Yes,20,LD,2-Some,3,4-Never,4-Never,0-No,1-Yes,1,15,1-Yes,4-Never,1-Yes,0-No,1-Yes,7-Dugee,,4,300,LD,0-No,4-Never,1-Yes,3-One one time,1-Yes,1-Marijuana/Grass/Opium,,CLICK TO CONTINUE,Resume later
